Column 1,Satz,noun,polarity_noun,adjective,polarity_adj,valence_rating_sent
0,Die Biene ist aktiv.,Biene,positiv,aktiv,positiv,4
1,Die Brautjungfer ist amüsant.,Brautjungfer,positiv,amüsant,positiv,7
2,Der Garten ist berühmt.,Garten,positiv,berühmt,positiv,6
3,Der Gewinn ist süß.,Gewinn,positiv,süß,positiv,7
4,Der Künstler ist gutmütig.,Künstler,positiv,gutmütig,positiv,6
5,Die Feier ist legal.,Feier,positiv,legal,positiv,6
6,Der Familienmensch ist angenehm.,Familienmensch,positiv,angenehm,positiv,6
7,Der Palast ist bildhübsch.,Palast,positiv,bildhübsch,positiv,6
8,Die Studentin ist beliebt.,Studentin,positiv,beliebt,positiv,7
9,Das Fohlen ist friedlich.,Fohlen,positiv,friedlich,positiv,7
10,Der Genießer ist humorvoll.,Genießer,positiv,humorvoll,positiv,6
11,Die Freundin ist pfiffig.,Freundin,positiv,pfiffig,positiv,5
12,Der Geliebte ist sinnlich.,Geliebte,positiv,sinnlich,positiv,8
13,Das Geschenk ist super.,Geschenk,positiv,super,positiv,7
14,Der Gentleman ist barmherzig.,Gentleman,positiv,barmherzig,positiv,5
15,Der Freund ist zuverlässig.,Freund,positiv,zuverlässig,positiv,8
16,Die Gitarre ist anregend.,Gitarre,positiv,anregend,positiv,6
17,Der Gewinner ist lustig.,Gewinner,positiv,lustig,positiv,7
18,Das Genie ist weise.,Genie,positiv,weise,positiv,7
19,Die Wippe ist toll.,Wippe,positiv,toll,positiv,5
20,Der Park ist phantastisch.,Park,positiv,phantastisch,positiv,7
21,Der Kumpel ist mitfühlend.,Kumpel,positiv,mitfühlend,positiv,8
22,Das Frühstück ist reizvoll.,Frühstück,positiv,reizvoll,positiv,8
23,Das Enkelkind ist kräftig.,Enkelkind,positiv,kräftig,positiv,6
24,Der Großvater ist schlau.,Großvater,positiv,schlau,positiv,7
25,Der Opa ist klug.,Opa,positiv,klug,positiv,8
26,Die Familie ist loyal.,Familie,positiv,loyal,positiv,8
27,Der Partner ist muskulös.,Partner,positiv,muskulös,positiv,6
28,Der Gesang ist anmutig.,Gesang,positiv,anmutig,positiv,8
29,Die Linde ist robust.,Linde,positiv,robust,positiv,7
30,Der Filmstar ist furchtlos.,Filmstar,positiv,furchtlos,positiv,6
31,Die Fee ist grandios.,Fee,positiv,grandios,positiv,8
32,Der Kuss ist romantisch.,Kuss,positiv,romantisch,positiv,8
33,Der Athlet ist tolerant.,Athlet,positiv,tolerant,positiv,7
34,Das Hobby ist vertraut.,Hobby,positiv,vertraut,positiv,6
35,Der Denker ist fleißig.,Denker,positiv,fleißig,positiv,8
36,Die Hochzeit ist aufregend.,Hochzeit,positiv,aufregend,positiv,8
37,Der Tänzer ist ehrlich.,Tänzer,positiv,ehrlich,positiv,7
38,Der Held ist attraktiv.,Held,positiv,attraktiv,positiv,5
39,Der Dichter ist begabt.,Dichter,positiv,begabt,positiv,8
40,Der Bäcker ist begeistert.,Bäcker,positiv,begeistert,positiv,6
41,Die Kellnerin ist dankbar.,Kellnerin,positiv,dankbar,positiv,9
42,Die Ballerina ist beweglich.,Ballerina,positiv,beweglich,positiv,6
43,Der Abiturient ist erfolgreich.,Abiturient,positiv,erfolgreich,positiv,8
44,Der Traum ist fröhlich.,Traum,positiv,fröhlich,positiv,7
45,Die Braut ist großzügig.,Braut,positiv,großzügig,positiv,7
46,Der Papagei ist heiter.,Papagei,positiv,heiter,positiv,8
47,Der Mentor ist herzlich.,Mentor,positiv,herzlich,positiv,5
48,Der Brief ist kreativ.,Brief,positiv,kreativ,positiv,6
49,Der Kinderarzt ist pünktlich.,Kinderarzt,positiv,pünktlich,positiv,4
50,Die Ehefrau ist selbstbewusst.,Ehefrau,positiv,selbstbewusst,positiv,7
51,Der Flamingo ist verliebt.,Flamingo,positiv,verliebt,positiv,7
52,Die Villa ist wertvoll.,Villa,positiv,wertvoll,positiv,6
53,Die Pizzeria ist schick.,Pizzeria,positiv,schick,positiv,6
54,Die Kamera ist preisgünstig.,Kamera,positiv,preisgünstig,positiv,6
55,Das Fahrrad ist nützlich.,Fahrrad,positiv,nützlich,positiv,7
56,Der Sieger ist perfekt.,Sieger,positiv,perfekt,positiv,6
57,Der Forscher ist reich.,Forscher,positiv,reich,positiv,6
58,Der Retter ist intelligent.,Retter,positiv,intelligent,positiv,6
59,Der Gastgeber ist optimistisch.,Gastgeber,positiv,optimistisch,positiv,6
60,Die Blume ist interessant.,Blume,positiv,interessant,positiv,6
61,Die Orchidee ist makellos.,Orchidee,positiv,makellos,positiv,5
62,Das Parfüm ist optimal.,Parfüm,positiv,optimal,positiv,3
63,Der Geburtstag ist wunderschön.,Geburtstag,positiv,wunderschön,positiv,7
64,Die Hochzeitsfeier ist ehrwürdig,Hochzeitsfeier,positiv,ehrwürdig,positiv,7
65,Der Schatz ist silbern.,Schatz,positiv,silbern,positiv,6
66,Der Champion ist entspannt.,Champion,positiv,entspannt,positiv,8
67,Der Hausmann ist gebildet.,Hausmann,positiv,gebildet,positiv,7
68,Der Pullover ist praktisch.,Pullover,positiv,praktisch,positiv,5
69,Der Schauspieler ist verlässlich.,Schauspieler,positiv,verlässlich,positiv,8
70,Der Urlauber ist erleichtert.,Urlauber,positiv,erleichtert,positiv,7
71,Der Profi ist erfreut.,Profi,positiv,erfreut,positiv,8
72,Das Hotel ist akkurat.,Hotel,positiv,akkurat,positiv,7
73,Das Schulmädchen ist lieb.,Schulmädchen,positiv,lieb,positiv,8
74,Der Heiler ist einfühlsam.,Heiler,positiv,einfühlsam,positiv,5
75,Der Zauberer ist gesprächig.,Zauberer,positiv,gesprächig,positiv,7
76,Die Heldin ist gerührt.,Heldin,positiv,gerührt,positiv,7
77,Der Leopard ist lebendig.,Leopard,positiv,lebendig,positiv,8
78,Der Verehrer ist witzig.,Verehrer,positiv,witzig,positiv,6
79,Der Schriftsteller ist sportlich.,Schriftsteller,positiv,sportlich,positiv,6
